Alter;Groesse;Geschlecht;AlterV;AlterM;AnzSchuhe;NoteMathe;MatheZufr
 23;161;Frau; 61; 56;30;3,0;geht so
 22;158;Frau; 53; 51;20;2,3;zufrieden
 22;162;Frau; 54; 52;23;2,0;geht so
 21;168;Frau; 55; 53;30;1,0;sehr zufrieden
 21;164;Frau; 50; 49;50;3,7;geht so
 26;174;Mann; 65; 49;7;1,0;sehr zufrieden
 23;177;Mann; 46; 44;10;3,0;geht so
 18;163;Frau; 45; 45;4;3,3;unzufrieden
 23;172;Frau; 47; 46;25;NA;NA
 20;195;mann; 48; 49;6;1,0;sehr zufrieden
 20;170;Frau; 50; 55;65;4,0;geht so
 22;165;Frau; 50; 49;15;4,0;unzufrieden
 19;183;Mann; 58; 55;5;3,0;geht so
 19;164;Frau; 60; 56;50;2,7;zufrieden
 26;198;mann; 58; 54;5;5,0;unzufrieden
 19;155;Mann; 50; 49;10;3,3;geht so
 23;180;Mann; 56; 50;fünfzehn;3,7;geht so
 19;169;Frau; 54; 50;40;2,5;geht so
 19;188;m; 62; 53;6;1,7;geht so
 26;175;Mann; 50; 46;11;5,0;unzufrieden
 20;171;Frau; 59; 49;4;5,0;unzufrieden
 20;188;Mann; 49; 52;7;3,3;unzufrieden
 20;177;Mann; 55; 52;11;3,0;zufrieden
 22;184;Mann; 56; 53;6;NA;NA
 19;172;Frau; 50; 50;15;5,0;unzufrieden
 19;178;Mann; 59; 58;6;5,0;unzufrieden
 19;186;Mann; 50; 53;15;4,0;geht so
 33;176;frau; 68; 60;10;NA;NA
NA;170;Frau; 54; 56;20;NA;NA
 22;176;Frau; 52; 52;35;3,0;geht so
 21;172;frau; 51; 51;23;3,3;zufrieden
 21;174;Frau; 52; 53;20;3,3;sehr zufrieden
 18;185;Mann; 50; 50;4;NA;NA
 21;185;Mann; 64; 50;7;2,0;sehr zufrieden
 22;171;Frau; 51; 49;40;3,0;unzufrieden
 22;187;Mann; 62; 55;7;2,0;zufrieden
 27;161;Frau; 63; 58;15;NA;NA
 23;172;m; 49; 51;7;2,7;unzufrieden
 18;165;Frau; 52; 51;20;4,0;unzufrieden
 23;184;mann; 52; 48;3;2,7;zufrieden
 20;160;Frau; 49; 42;15;NA;NA
 21;174;m; 64; 59;5;3,0;geht so
 21;166;Frau; 52; 50;35;2,7;geht so
 22;176;Mann; 45; 42;5;3,0;zufrieden
 24;169;Frau; 53; 55;35;5,0;unzufrieden
 18;169;Frau; 51; 53;40;2,3;zufrieden
 19;175;mann; 54; 52;5;2,3;geht so
 19;161;Frau; 59; 57;15;NA;unzufrieden
 23;178;Mann; 56; 49;3;NA;NA
 18;165;Frau; 52; 50;6;NA;unzufrieden
 21;173;Frau; 57; 52;15;1,0;sehr zufrieden
 19;173;mann; 54; 50;4;1,0;geht so
 24;183;Mann; 65; 62;15;3,0;zufrieden
 20;174;frau; 65; 55;18;NA;NA
 27;160;Frau; 53; 53;9;3,3;zufrieden
 23;160;frau; 55; 52;30;2,7;zufrieden
 25;170;mann; 67; 51;8;2,0;sehr zufrieden
 33;170;Mann; 60; 52;5;NA;NA
 16;178;Mann; 48; 48;15;3,0;zufrieden
 19;177;Mann; 59; 54;2;4,0;geht so
 20;167;Frau; 52; 49;15;NA;NA
 23;151;Frau; 60; 49;10;2,7;unzufrieden
 22;184;Mann; 60; 52;9;NA;NA
 22;180;Mann; 55; 45;5;NA;NA
 21;178;w; 64; 59;30;2,0;geht so
 24;185;mann; 54; 52;8;4,0;geht so
 21;170;frau; 57; 58;32;5,0;unzufrieden
 27;172;Mann; 56; 56;11;NA;NA
 21;178;Mann; 57; 53;3;5,0;unzufrieden
 20;164;w; 57; 57;22;1,7;sehr zufrieden
 27;160;Frau; 50; 49;20;5,0;unzufrieden
 28;169;Frau; 62; 63;16;3,3;geht so
 20;166;Frau; 51; 51;10;2,0;zufrieden
 18;170;frau; 53; 51;15;4,0;zufrieden
 20;188;Mann; 54; 54;5;2,3;zufrieden
 24;166;Frau; 51; 51;12;5,0;unzufrieden
 19;164;frau; 47; 46;30;NA;NA
 23;175;Frau; 55; 49;50;5,0;unzufrieden
 19;162;Frau; 58; 55;28;3,0;sehr zufrieden
 25;174;mann; 55; 55;16;3,3;zufrieden
 21;177;Frau; 54; 51;7;3,0;zufrieden
 27;175;mann; 70; 64;10;1,3;sehr zufrieden
 20;174;Frau; 50; 48;25;5,0;unzufrieden
 23;170;frau; 50; 45;55;4,0;unzufrieden
 20;174;Frau; 60; 56;30;3,7;unzufrieden
 18;160;Frau; 54; 53;30;2,7;zufrieden
 20;194;Mann; 46; 47;10;5,0;unzufrieden
 21;185;mann; 67; 56;10;5,0;unzufrieden
 22;160;w; 47; 47;45;5,0;unzufrieden
 21;171;Frau; 49; 44;40;3,0;sehr zufrieden
 19;174;mann; 52; 52;5;NA;NA
 28;160;Frau; 57; 50;20;NA;NA
 19;187;Mann; 50; 46;8;1,0;sehr zufrieden
 19;179;Frau; 52; 46;9;5,0;geht so
 18;164;Frau; 51; 47;50;NA;NA
 19;186;Mann; 48; 48;12;2,7;zufrieden
 24;169;w; 50; 49;18;5,0;unzufrieden
 22;171;Mann; 51; 49;8;NA;NA
 19;168;Frau; 45; 42;6;3,7;sehr zufrieden
 20;185;Frau; 46; 47;7;4,0;zufrieden
 23;177;Mann; 55; 50;15;NA;NA
 23;180;m; 49; 43;5;3,3;geht so
 21;174;Mann; 50; 53;11;NA;NA
 24;169;frau; 56; 50;30;3,7;unzufrieden
 22;179;Mann; 47; 50;8;3,0;unzufrieden
 21;164;Frau; 52; 48;50;3,0;geht so
 22;189;Mann; 59; 59;7;3,0;zufrieden
 23;195;Mann; 68; 58;6;NA;NA
 18;170;Frau; 62; 54;11;4,0;zufrieden
 20;178;w; 58; 55;20;3,7;unzufrieden
 21;172;Frau; 58; 53;35;2,7;unzufrieden
 20;193;mann; 57; 54;9;5,0;unzufrieden
 26;164;Frau; 49; 47;80;5,0;unzufrieden
 26;173;m; 55; 53;6;NA;NA
 24;184;Mann; 52; 50;4;5,0;unzufrieden
 23;175;mann; 50; 47;50;4,0;geht so
 20;175;Frau; 53; 49;10;2,0;sehr zufrieden
 23;162;frau; 61; 58;40;5,0;unzufrieden
 23;181;Mann; 45; 55;10;1,3;sehr zufrieden
 31;171;Frau; 65; 63;60;2,3;zufrieden
 19;185;Mann; 45; 45;10;2,7;unzufrieden
 20;177;mann; 45; 45;7;3,0;geht so
 21;178;Frau; 52; 61;30;5,0;unzufrieden
 26;178;Frau; 58; 57;27;NA;NA
 24;185;m; 63; 63;4;5,0;geht so
 21;185;Mann; 52; 51;22;2,3;zufrieden
 24;163;Frau; 59; 56;30;5,0;geht so
 20;168;frau; 51; 47;50;2,3;zufrieden
 19;178;Mann; 49; 48;10;2,0;zufrieden
 18;178;m; 52; 46;11;4,0;unzufrieden
 22;173;Frau; 53; 49;80;4,7;unzufrieden
 20;175;Mann; 52; 49;7;2,7;geht so
 24;170;Mann; 58; 54;7;5,0;unzufrieden
 21;189;m; 49; 47;4;NA;NA
 27;190;Mann; 56; 54;7;1,7;zufrieden
 22;160;Frau; 44; 45;30;5,0;unzufrieden
 25;183;Mann; 61; 58;10;1,3;geht so
 20;173;w; 50; 48;140;2,0;sehr zufrieden
 28;174;mann; 52; 51;13;3,0;unzufrieden
 22;161;Frau; 53; 53;50;3,7;zufrieden
 19;183;Frau; 49; 48;17;3,3;geht so
 22;180;Mann; 53; 56;7;2,7;geht so
 18;166;Frau; 58; 54;25;2,3;geht so
 19;170;w; 43; 42;30;3,7;unzufrieden
 19;169;Frau; 53; 55;17;3,7;geht so
 21;164;Frau; 58; 55;17;3,0;geht so
 22;170;Frau; 64; 55;50;5,0;unzufrieden
 20;184;Mann; 48; 45;8;5,0;unzufrieden
 22;193;Mann; 45; 44;15;3,7;sehr zufrieden
 19;172;Mann; 43; 41;5;3,3;geht so
 23;176;Mann; 54; 56;10;5,0;unzufrieden
 24;175;mann; 52; 49;12;5,0;unzufrieden
 24;183;m; 58; 55;5;NA;NA
 23;168;frau; 49; 51;25;NA;NA
 25;167;Frau; 45; 48;30;4,0;geht so
 20;175;Frau; 51; 43;17;5,0;unzufrieden
 26;159;Frau; 66; 62;60;NA;geht so
 25;186;mann; 57; 54;9;2,3;sehr zufrieden
 18;183;mann; 49; 46;3;3,0;geht so
 19;179;Mann; 54; 52;4;3,7;geht so
 19;165;Frau; 54; 54;15;4,0;geht so
 21;171;Frau; 55; 50;20;3,0;zufrieden
 29;163;Frau; 54; 61;10;2,0;zufrieden
 20;182;Mann; 55; 53;6;2,3;sehr zufrieden
 25;178;m; 57; 54;8;1,3;sehr zufrieden
 23;170;Frau; 53; 48;30;NA;NA
 23;164;Frau; 70; 65;18;4,0;geht so
 20;170;frau; 55; 51;40;2,7;geht so
 24;174;w; 57; 52;18;5,0;unzufrieden
 23;185;Mann; 60; 51;5;3,3;geht so
 22;163;Frau; 49; 50;6;NA;NA
 22;175;frau; 58; 57;20;5,0;unzufrieden
 21;190;Mann; 56; 53;7;NA;NA
 19;168;Frau; 61; 58;30;3,7;geht so
 25;166;w; 58; 55;55;NA;NA
 19;163;Frau; 50; 50;25;4,5;unzufrieden
 23;166;Frau; 58; 53;23;1,0;sehr zufrieden
 24;178;Frau; 65; 58;80;2,7;geht so
 19;178;mann; 54; 51;8;4,0;unzufrieden
 19;173;w; 49; 47;40;NA;NA
 18;170;Frau; 52; 48;12;5,0;geht so
 20;183;Mann; 57; 53;9;NA;NA
 21;181;Mann; 59; 41;7;NA;NA
 21;166;Frau; 55; 53;25;2,7;geht so
 22;188;mann; 58; 53;25;NA;unzufrieden
 21;174;Frau; 51; 46;30;NA;NA
 20;180;Frau; 60; 58;30;1,3;sehr zufrieden
 25;167;Frau; 64; 61;12;2,7;zufrieden
 22;165;Frau; 59; 55;20;5,0;unzufrieden
 22;169;frau; 49; 48;50;2,0;sehr zufrieden
 27;176;Frau; 57; 56;20;5,0;zufrieden
 23;175;Frau; 53; 49;70;NA;NA
 20;165;Frau; 52; 52;30;3,0;geht so
 22;185;Mann; 49; 46;12;5,0;unzufrieden
 31;160;Frau; 52; 50;50;3,0;geht so
 23;175;m; 55; 54;6;4,0;geht so
 18;162;Frau; 43; 43;4;NA;NA
 20;168;Frau; 56; 57;40;NA;NA
 20;180;Mann; 46; 44;3;2,0;geht so
 22;180;Mann; 63; 50;3;NA;NA
 30;180;Mann; 55; 52;7;5,0;unzufrieden
 23;162;frau; 52; 51;35;3,7;geht so
 19;170;Mann; 55; 50;20;NA;NA
 23;183;Mann; 62; 52;15;4,0;geht so
 23;156;Frau; 60; 54;20;3,7;zufrieden
 18;167;Frau; 51; 50;18;3,0;geht so
 21;180;frau; 52; 55;35;5,0;unzufrieden
 19;163;Frau; 51; 42;13;5,0;unzufrieden
 22;171;w; 52; 49;20;2,3;geht so
 19;167;Frau; 51; 49;25;4,0;unzufrieden
 20;163;Frau; 45; 55;10;NA;NA
 24;173;Mann; 53; 51;8;1,3;zufrieden
 22;187;Mann; 48; 45;17;3,0;geht so
 23;182;mann; 57; 55;4;4,0;geht so
 25;180;Mann; 61; 59;12;3,3;zufrieden
 24;179;m; 68; 49;10;3,0;sehr zufrieden
 24;172;Mann; 54; 52;8;3,7;unzufrieden
 21;180;Mann; 57; 50;8;3,7;zufrieden
 22;170;Frau; 52; 51;30;3,0;geht so
 19;176;Mann; 47; 43;6;4,0;geht so
 26;180;Frau; 53; 51;30;5,0;unzufrieden
 22;180;Mann; 58; 56;8;5,0;unzufrieden
 21;167;frau; 60; 55;20;NA;NA
 21;166;Frau; 59; 56;19;4,0;geht so
 24;182;Mann; 59; 50;9;NA;NA
 20;184;Mann; 46; 50;14;5,0;unzufrieden
 23;184;Mann; 57; 54;7;3,0;zufrieden
 20;162;Frau; 51; 51;67;3,3;unzufrieden
 23;180;Mann; 54; 49;15;2,7;unzufrieden
 20;199;Mann; 53; 51;6;5,0;geht so
 33;165;Frau; 59; 60;20;3,0;unzufrieden
 20;188;Mann; 52; 53;11;3,7;geht so
 25;181;Mann; 55; 53;5;3,3;zufrieden
 18;173;Frau; 49; 50;30;3,3;geht so
 19;170;w; 58; 50;20;2,3;zufrieden
 19;165;Frau; 50; 47;25;2,7;zufrieden
 20;178;frau; 47; 48;25;NA;NA
 18;170;Frau; 55; 55;20;4,0;unzufrieden
 23;172;Mann; 60; 59;7;NA;NA
 22;174;Frau; 52; 50;30;3,7;geht so
 20;161;frau; 51; 43;90;4,0;geht so
 20;175;mann; 49; 44;8;NA;NA
 32;164;w; 57; 58;25;NA;NA
 19;167;Frau; 55; 54;40;3,0;geht so
 22;180;Mann; 56; 55;5;2,0;zufrieden
 24;164;Frau; 60; 47;30;5,0;unzufrieden
 18;173;Mann; 48; 45;7;NA;NA
 20;185;Frau; 53; 53;25;3,7;geht so
 23;178;Mann; 49; 48;8;1,7;sehr zufrieden
 18;169;Frau; 56; 46;25;1,3;sehr zufrieden
 24;185;Mann; 59; 56;17;2,7;zufrieden
 19;165;frau; 57; 54;30;1,0;sehr zufrieden
 19;160;Frau; 47; 47;25;2,0;zufrieden
 21;161;Frau; 60; 50;25;3,0;geht so
 21;178;Frau; 56; 56;4;5,0;unzufrieden
 20;186;Mann; 54; 55;15;4,0;zufrieden
 20;165;Frau; 50; 49;35;3,3;sehr zufrieden
 34;171;mann; 61; 59;10;3,7;unzufrieden
 23;171;frau; 56; 54;20;4,0;geht so
 26;172;Mann; 44; 49;11;NA;NA
 21;168;w; 72; 60;25;3,3;zufrieden
 20;170;Frau; 51; 49;30;NA;NA
 20;182;mann; 57; 54;5;2,0;zufrieden
 19;163;frau; 54; 58;15;4,0;unzufrieden
 26;184;Mann; 58; 55;7;NA;NA
 24;165;frau; 61; 54;20;5,0;unzufrieden
 18;168;Frau; 48; 46;20;4,0;geht so
 18;186;Mann; 50; 49;11;5,0;unzufrieden
 21;152;Frau; 55; 49;20;2,7;zufrieden
 21;180;m; 63; 59;7;3,7;geht so
 26;185;mann; 61; 56;15;4,0;unzufrieden
 20;169;frau; 53; 52;30;NA;NA
 23;163;Frau; 52; 52;50;5,0;unzufrieden
 22;168;Frau; 59; 53;35;2,0;sehr zufrieden
 19;179;Frau; 50; 52;82;4,0;zufrieden
 24;183;m; 57; 54;7;4,0;zufrieden
 19;164;Frau; 50; 49;11;5,0;unzufrieden
 21;180;Mann; 51; 47;2;NA;NA
 19;162;Frau; 38; 37;10;2,7;zufrieden
 22;162;Frau; 65; 58;30;NA;unzufrieden
 19;185;Frau; 59; 48;20;4,0;unzufrieden
 18;185;Frau; 49; 53;30;4,0;unzufrieden
 26;186;Mann; 54; 53;5;NA;NA
 23;179;frau; 58; 63;25;NA;NA
 26;168;Frau; 62; 57;40;2,7;zufrieden
 22;165;frau; 52; 50;15;1,7;sehr zufrieden
 18;175;m; 57; 52;7;3,7;geht so
 20;162;Frau; 50; 48;70;NA;NA
 20;180;Frau; 56; 60;4;3,7;sehr zufrieden
 20;180;Mann; 49; 49;3;5,0;unzufrieden
 19;169;Frau; 60; 50;30;3,3;geht so
 22;165;Frau; 56; 52;50;2,3;unzufrieden
 20;183;Mann; 56; 54;15;3,3;geht so
 19;161;Frau; 46; 47;70;2,7;geht so
 18;165;Frau; 45; 44;36;1,7;sehr zufrieden
 25;167;Frau; 52; 52;20;NA;NA
 22;180;Frau; 50; 49;25;3,0;sehr zufrieden
 20;172;frau; 54; 51;20;3,3;geht so
 20;187;Mann; 51; 54;7;NA;NA
 23;183;Mann; 56; 52;25;5,0;geht so
 21;157;Frau; 46; 53;35;5,0;unzufrieden
 19;160;Frau; 52; 47;45;1,7;sehr zufrieden
 21;162;Frau; 49; 47;20;3,7;geht so
 19;160;Frau; 52; 54;40;NA;NA
 24;177;Mann; 55; 52;12;5,0;unzufrieden
 25;186;m; 64; 60;20;NA;NA
 25;174;Mann; 62; 57;4;1,3;geht so
 19;165;Frau; 42; 48;15;NA;NA
 23;180;Mann; 43; 40;4;NA;NA
 21;159;Frau; 55; 50;15;NA;NA
 31;178;Mann; 61; 58;6;4,0;unzufrieden
 25;182;Mann; 52; 50;15;NA;NA
 24;176;Frau; 48; 43;45;3,0;unzufrieden
 20;160;Frau; 55; 55;30;2,7;geht so
 29;154;w; 51; 47;20;NA;NA
 18;158;Frau; 48; 46;6;5,0;unzufrieden
 18;173;Frau; 49; 50;45;3,0;geht so
 19;175;Mann; 53; 49;7;1,3;sehr zufrieden
 20;182;Mann; 48; 47;5;NA;NA
 24;191;Mann; 48; 50;12;3,7;unzufrieden
 20;170;frau; 50; 49;19;1,7;zufrieden
 20;158;Frau; 53; 50;20;5,0;unzufrieden
 21;186;Mann; 52; 51;12;NA;NA
 22;168;Frau; 53; 51;20;3,7;geht so
 32;160;Frau; 59; 56;25;5,0;unzufrieden
 20;172;Frau; 53; 48;35;5,0;unzufrieden
 19;160;Frau; 48; 48;30;4,0;geht so
 25;183;Mann; 59; 56;30;5,0;unzufrieden
 20;170;Frau; 51; 52;20;2,3;zufrieden
 26;189;Mann; 52; 49;12;3,3;zufrieden
 23;178;Mann; 46; 47;11;4,0;geht so
 19;164;frau; 52; 50;25;1,0;sehr zufrieden
 26;183;Mann; 57; 56;6;1,0;sehr zufrieden
 19;167;Frau; 57; 55;15;3,0;geht so
 21;173;Frau; 45; 49;10;NA;NA
 27;185;Mann; 52; 52;20;2,0;zufrieden
 23;168;Frau; 54; 53;30;NA;NA
 21;190;mann; 49; 53;20;5,0;unzufrieden
 22;178;frau; 68; 60;20;4,0;geht so
 28;165;frau; 63; 55;40;3,7;unzufrieden
 21;184;Mann; 57; 47;8;NA;NA
 19;165;frau; 54; 50;22;4,0;geht so
 23;182;Mann; 57; 53;25;NA;NA
 20;154;frau; 64; 54;15;1,7;sehr zufrieden
 19;168;Frau; 59; 54;15;4,0;geht so
 20;178;Mann; 50; 49;6;5,0;unzufrieden
 26;176;frau; 57; 50;40;1,0;sehr zufrieden
 19;159;Frau; 47; 46;50;5,0;unzufrieden
 18;160;Frau; 49; 47;25;2,3;zufrieden
 20;167;Frau; 59; 54;40;3,0;zufrieden
 21;190;Mann; 60; 57;10;2,7;geht so
 19;183;mann; 54; 57;7;NA;NA
 22;167;Frau; 47; 46;40;4,0;geht so
 19;167;frau; 59; 56;25;1,7;geht so
 23;185;Mann; 53; 51;7;NA;NA
 19;167;w; 57; 56;20;1,3;sehr zufrieden
 24;176;mann; 55; 55;6;2,3;sehr zufrieden
 20;171;frau; 51; 49;5;5,0;unzufrieden
 21;177;Mann; 58; 58;5;3,7;unzufrieden
 19;164;Frau; 50; 50;10;5,0;unzufrieden
 30;164;frau; 56; 53;40;3,7;unzufrieden
 23;178;Mann; 65; 62;16;NA;NA
 20;170;Frau; 53; 51;15;3,3;unzufrieden
 19;180;mann; 56; 50;10;2,7;unzufrieden
 18;173;w; 48; 47;12;1,0;sehr zufrieden
 19;176;Mann; 57; 54;5;NA;NA
 19;176;frau; 49; 47;28;4,0;geht so
 21;172;frau; 54; 47;25;3,0;sehr zufrieden
 18;172;Frau; 49; 50;30;2,0;sehr zufrieden
 21;173;Frau; 55; 47;26;NA;NA
 22;172;Frau; 60; 58;25;1,7;sehr zufrieden
 19;166;Frau; 50; 47;15;3,7;zufrieden
 22;187;mann; 62; 55;7;2,0;zufrieden
 28;190;Mann; 55; 48;10;5,0;unzufrieden
 23;165;w; 55; 50;46;NA;NA
 23;164;w; 50; 50;6;4,0;geht so
 24;180;w; 58; 52;35;5,0;unzufrieden
 19;180;Frau; 51; 49;50;2,7;unzufrieden
 21;178;Frau; 54; 50;35;5,0;unzufrieden
 21;169;w; 52; 49;20;3,0;zufrieden
 22;157;Frau; 48; 41;30;5,0;unzufrieden
 36;176;Frau; 59; 59;20;5,0;unzufrieden
 22;185;Mann; 52; 51;8;NA;NA
 29;170;Frau; 55; 51;15;NA;NA
 19;176;Mann; 60; 52;20;4,0;unzufrieden
 19;176;Frau; 51; 47;25;4,0;unzufrieden
 21;176;m; 53; 52;8;3,3;geht so
 23;169;Frau; 56; 56;43;NA;NA
 22;163;frau; 50; 50;18;1,7;sehr zufrieden
 23;188;mann;522; 49;15;3,3;zufrieden
 23;185;Mann; 56; 55;5;NA;NA
 20;165;Frau; 57; 58;25;3,3;unzufrieden
 23;181;mann; 52; 48;75;NA;NA
 19;168;Frau; 51; 49;7;3,0;geht so
 28;171;mann; 59; 54;5;2,0;zufrieden
 20;162;Frau; 42; 44;15;3,7;geht so
 21;168;w; 46; 47;10;NA;NA
 21;172;frau; 49; 41;8;NA;NA
 22;160;Frau; 48; 46;20;5,0;unzufrieden
 19;162;frau; 49; 50;20;2,7;zufrieden
 19;169;Frau; 49; 46;50;NA;NA
 23;178;Mann; 52; 50;5;NA;NA
 28;175;Mann; 61; 56;12;NA;NA
 24;195;mann; 58; 56;15;3,7;zufrieden
 20;170;Frau; 49; 53;20;NA;unzufrieden
119;179;Mann; 51; 46;3;1,7;sehr zufrieden
 20;160;frau; 57; 56;30;2,7;geht so
 21;177;Frau; 59; 54;10;4,0;unzufrieden
 23;182;mann; 56; 52;4;5,0;unzufrieden
 23;188;Mann; 53; 52;4;4,0;geht so
 18;178;Mann; 51; 48;7;2,0;sehr zufrieden
 24;178;mann; 57; 54;5;2,3;geht so
 22;188;Mann; 49; 54;9;5,0;unzufrieden
 23;184;Mann; 63; 56;17;3,7;geht so
 24;165;Frau; 56; 51;275;4,0;unzufrieden
 19;180;Mann; 49; 46;6;1,0;sehr zufrieden
 22;170;frau; 48; 46;20;NA;NA
 24;163;Frau; 64; 60;70;NA;NA
 18;164;Frau; 57; 49;22;3,3;geht so
 19;192;Mann; 53; 52;9;3,7;unzufrieden
 19;160;Frau; 48; 47;20;3,7;unzufrieden
 20;169;Frau; 50; 46;30;3,3;geht so
 21;172;Frau; 58; 56;25;1,7;sehr zufrieden
 20;164;Frau; 58; 54;10;1,3;sehr zufrieden
 20;188;m; 57; 50;3;1,7;zufrieden
 21;176;Mann; 49; 48;8;NA;NA
 24;164;frau; 49; 53;38;3,0;geht so
 29;164;Frau; 55; 52;50;3,7;zufrieden
 19;164;Frau; 56; 55;35;3,3;geht so
 20;189;Mann; 49; 45;5;5,0;unzufrieden
 24;170;mann; 57; 55;15;NA;NA
211;175;Mann; 56; 61;4;NA;NA
 18;172;frau; 57; 53;8;2,0;sehr zufrieden
 23;162;Frau; 56; 53;18;3,3;geht so
 26;169;Frau; 61; 57;30;5,0;unzufrieden
 30;179;Mann; 54; 52;7;5,0;unzufrieden
 24;160;w; 59; 50;60;5,0;unzufrieden
 28;163;frau; 46; 44;86;3,0;sehr zufrieden
 19;179;Mann; 48; 48;5;1,7;sehr zufrieden
 24;165;Frau; 60; 58;20;NA;unzufrieden
 26;167;w; 53; 50;30;2,7;zufrieden
 28;183;m; 53; 51;14;NA;NA
 22;160;Frau; 51; 49;40;5,0;unzufrieden
 21;169;Frau; 55; 54;9;3,0;unzufrieden
 22;166;Frau; 50; 48;13;2,3;geht so
 22;187;m; 62; 55;7;NA;NA
 26;172;mann; 49; 45;5;NA;NA
 24;180;Mann; 52; 50;2;5,0;sehr zufrieden
 22;162;Frau; 54; 47;50;2,3;zufrieden
 20;186;Mann; 50; 48;6;5,0;unzufrieden
 19;181;m; 52; 48;8;3,0;unzufrieden
 21;183;Mann; 51; 48;8;2,0;sehr zufrieden
 25;182;Mann; 80; 70;5;1,7;zufrieden
 35;173;m; 75; 70;25;2,3;zufrieden
 20;163;Frau; 56; 54;20;3,0;geht so
 18;188;Mann; 44; 52;12;1,0;sehr zufrieden
 21;185;m; 50; 48;25;2,7;zufrieden
 25;180;mann; 55; 52;10;NA;NA
 21;165;Mann; 60; 53;4;NA;NA
 20;170;Frau; 58; 56;30;4,0;unzufrieden
 22;177;Mann; 50; 44;20;4,0;geht so
 22;170;Frau; 45; 44;30;3,0;geht so
 19;181;Frau; 58; 55;70;4,0;sehr zufrieden
 21;160;Frau; 44; 42;40;3,3;geht so
 20;155;Frau; 45; 45;22;5,0;unzufrieden
 21;174;Mann; 58; 50;4;3,7;unzufrieden
 19;172;Frau; 53; 51;10;2,7;geht so
 20;175;Frau; 48; 47;12;1,7;sehr zufrieden
 24;151;w; 54; 58;50;2,3;sehr zufrieden
 21;167;Frau; 55; 59;30;4,0;unzufrieden
 19;165;Frau; 49; 49;29;1,7;geht so
 20;194;Mann; 44; 43;15;5,0;unzufrieden
 26;176;Frau; 55; 52;19;4,0;unzufrieden
 21;168;frau; 55; 65;40;3,7;geht so
 19;160;Frau; 50; 43;15;1,0;sehr zufrieden
 21;168;w; 49; 46;50;2,7;geht so
 21;163;Frau; 75; 50;30;3,0;geht so
 21;156;Frau; 57; 54;40;3,3;sehr zufrieden
 24;176;Mann; 49; 49;11;NA;NA
 21;158;Frau; 51; 50;20;NA;NA
 23;186;Mann; 53; 51;9;3,0;unzufrieden
 23;167;frau; 55; 58;22;3,7;zufrieden
 20; 21;mann; 50; 46;7;2,3;geht so
 28;160;Frau; 58; 56;40;NA;NA
NA;180;Mann; 57; 56;12;NA;NA
 29;156;Frau; 65; 61;50;NA;NA
 22;185;mann; 54; 50;10;1,3;sehr zufrieden
 20;180;Frau; 54; 46;25;4,0;zufrieden
 19;198;m; 59; 48;6;2,7;geht so
 21;179;Mann; 55; 52;3;NA;NA
 21;178;Frau; 44; 44;30;2,7;zufrieden
 21;168;frau; 54; 50;30;3,7;geht so
 18;173;Frau; 48; 48;40;3,0;zufrieden
 26;172;Mann; 57; 56;10;4,0;geht so
 20;178;Frau; 55; 45;22;NA;NA
 23;180;Mann; 56; 55;5;NA;NA
 23;170;Frau; 49; 48;25;2,7;geht so
 21;173;Mann; 70; 45;12;3,7;geht so
 20;180;Frau; 62; 52;15;5,0;unzufrieden
 18;175;Frau; 50; 45;16;4,0;zufrieden
 20;172;w; 53; 48;25;3,7;unzufrieden
 18;159;frau; 58; 51;50;1,7;sehr zufrieden
 25;171;Frau; 63; 61;5;2,0;zufrieden
 20;161;Frau; 51; 49;20;1,3;zufrieden
 20;157;frau; 50; 48;7;5,0;unzufrieden
 19;169;Frau; 60; 55;7;5,0;unzufrieden
 20;176;Mann; 52; 49;10;3,3;unzufrieden
 20;163;frau; 49; 51;20;NA;NA
 19;173;Frau; 50; 54;15;3,0;geht so
 23;184;Frau; 59; 56;30;5,0;unzufrieden
 24;172;frau; 55; 52;40;2,0;sehr zufrieden
 24;190;Mann; 55; 52;8;NA;NA
 23;169;Frau; 62; 60;26;NA;NA
 21;161;Frau; 70; 55;22;3,3;geht so
 21;163;w; 67; 53;13;3,7;geht so
 21;170;frau; 51; 49;30;3,7;geht so
 19;165;Frau; 51; 51;18;1,0;sehr zufrieden
 26;170;w; 59; 60;10;3,0;unzufrieden
 20;175;Frau; 57; 56;8;3,0;unzufrieden
 24;171;Frau; 54; 53;30;4,0;geht so
 20;169;w; 45; 44;11;3,3;zufrieden
 23;159;Frau; 59; 56;55;5,0;unzufrieden
 20;185;Mann; 48; 48;8;3,7;unzufrieden
 21;167;Frau; 45; 42;45;NA;NA
 19;172;Frau; 49; 58;15;2,3;sehr zufrieden
 19;168;Frau; 50; 50;20;2,7;unzufrieden
 21;170;frau; 42; 42;25;3,7;unzufrieden
 20;165;Frau; 43; 43;15;NA;NA
 28;195;Mann; 54; 52;1;3,0;geht so
 23;169;Frau; 52; 53;30;NA;NA
 20;165;Frau; 54; 52;40;NA;NA
 21;174;Frau; 49; 41;15;NA;unzufrieden
 29;168;Frau; 62; 46;10;NA;NA
 20;173;frau; 56; 48;30;4,0;unzufrieden
 24;167;Frau; 54; 52;40;4,0;geht so
 21;179;Mann; 53; 51;9;NA;NA
 21;175;w; 43; 39;27;4,0;unzufrieden
 22;175;Mann; 60; 56;25;3,7;geht so
